address,district,neighbourhood,property_type,bedrooms,house_age_years,distance_to_western_km,price,listing_url
"485 English Street, London East, ON",London East,East G,Townhouse,4.0,100.0,4.19,589900,https://www.zolo.ca/london-east-real-estate/485-english-street
"401-280 Queens Avenue S, London East, ON",London East,East F,Condo,2.0,100.0,3.44,448000,https://www.zolo.ca/london-east-real-estate/280-queens-avenue-south/401
"398 Victoria Street, London East, ON",London East,East B,House,3.0,,2.01,779900,https://www.zolo.ca/london-east-real-estate/398-victoria-street
"908-250 Pall Mall Street, London East, ON",London East,East F,Condo,2.0,23.0,2.65,489900,https://www.zolo.ca/london-east-real-estate/250-pall-mall-street/908
"557 Ferndale Court, London South, ON",London South,South Q,House,4.0,40.0,7.65,524900,https://www.zolo.ca/london-south-real-estate/557-ferndale-court
"274 Tamblyn Drive, London North, ON",London North,North K,House,4.0,75.0,1.58,749000,https://www.zolo.ca/london-north-real-estate/274-tamblyn-drive
"56 Classic Crescent, London East, ON",London East,East P,House,3.0,40.0,9.33,625000,https://www.zolo.ca/london-east-real-estate/56-classic-crescent
"106-144 Conway Drive, London South, ON",London South,South X,Condo,2.0,,8.84,279900,https://www.zolo.ca/london-south-real-estate/144-conway-drive/106
"106 Northumberland Road, London North, ON",London North,North L,House,4.0,,5.65,1399900,https://www.zolo.ca/london-north-real-estate/106-northumberland-road
"1099 Byron Baseline Road, London South, ON",London South,South K,Townhouse,4.0,,7.29,489900,https://www.zolo.ca/london-south-real-estate/1099-byron-baseline-road
"7-145 North Centre Road, London North, ON",London North,North B,Townhouse,4.0,,2.35,519000,https://www.zolo.ca/london-north-real-estate/7-145-north-centre-road
"176 Renfro Crescent, London South, ON",London South,South J,House,3.0,75.0,6.92,499900,https://www.zolo.ca/london-south-real-estate/176-renfro-crescent
"42 Applegreen Grove, London South, ON",London South,South N,House,4.0,75.0,6.17,599900,https://www.zolo.ca/london-south-real-estate/42-applegreen-grove
"282 Fleming Drive, London East, ON",London East,East D,House,4.0,,6.43,469900,https://www.zolo.ca/london-east-real-estate/282-fleming-drive
"20 Meadowview Road, London South, ON",London South,South O,House,3.0,40.0,6.13,689900,https://www.zolo.ca/london-south-real-estate/20-meadowview-road
"107 Aponi Crescent, London East, ON",London East,East D,House,3.0,75.0,6.59,479000,https://www.zolo.ca/london-east-real-estate/107-aponi-crescent
"17-1199 Reardon Boulevard, London South, ON",London South,South U,Townhouse,3.0,,9.88,429900,https://www.zolo.ca/london-south-real-estate/1199-reardon-boulevard/17
"127 Acorn Crescent, London North, ON",London North,North F,House,4.0,40.0,3.0,649000,https://www.zolo.ca/london-north-real-estate/127-acorn-crescent
"7-1059 Whetherfield Street, London North, ON",London North,North M,Townhouse,3.0,23.0,3.87,449900,https://www.zolo.ca/london-north-real-estate/1059-whetherfield-street/7
"1210-45 Pond Mills Road, London South, ON",London South,South J,Condo,2.0,,6.94,309900,https://www.zolo.ca/london-south-real-estate/45-pond-mills-road/1210
"3-720 Wonderland Road S, London South, ON",London South,South N,Townhouse,3.0,75.0,6.43,324900,https://www.zolo.ca/london-south-real-estate/720-wonderland-road-south/3
"226-2228 Trafalgar Street, London East, ON",London East,East I,Condo,1.0,40.0,10.05,279900,https://www.zolo.ca/london-east-real-estate/2228-trafalgar-street/226
"140 Hartson Road, London North, ON",London North,North O,House,4.0,40.0,6.22,795000,https://www.zolo.ca/london-north-real-estate/140-hartson-road
"97-1096 Jalna Boulevard, London South, ON",London South,South X,Condo,3.0,40.0,9.09,289900,https://www.zolo.ca/london-south-real-estate/1096-jalna-boulevard/97
"724 Brant Street, London East, ON",London East,East C,House,5.0,75.0,3.41,599000,https://www.zolo.ca/london-east-real-estate/724-brant-street
"414 Flanders Row, London East, ON",London East,East C,Townhouse,4.0,,4.93,399900,https://www.zolo.ca/london-east-real-estate/414-flanders-row
"3-745 Chelton Road, London, ON",London,South U,Townhouse,3.0,5.0,10.31,510000,https://www.zolo.ca/london-real-estate/745-chelton-road/3
"1276 Shore Road, London South, ON",London South,South A,House,5.0,,7.62,1099900,https://www.zolo.ca/london-south-real-estate/1276-shore-road
"205-744 Wonderland Road S, London South, ON",London South,South N,Condo,2.0,,6.59,335900,https://www.zolo.ca/london-south-real-estate/744-wonderland-road-south/205
"118 Deer Valley Crescent, London South, ON",London South,South N,House,6.0,,7.15,769000,https://www.zolo.ca/london-south-real-estate/118-deer-valley-crescent
"105-1975 Fountain Grass Drive, London South, ON",London South,South B,Condo,2.0,2.0,9.22,608900,https://www.zolo.ca/london-south-real-estate/1975-fountain-grass-drive/105
"570 Pall Mall Street, London East, ON",London East,East F,House,4.0,,3.28,488900,https://www.zolo.ca/london-east-real-estate/570-pall-mall-street
"277 Blackacres Boulevard, London North, ON",London North,North F,House,4.0,,3.2,675000,https://www.zolo.ca/london-north-real-estate/277-blackacres-boulevard
"120 Monmore Road, London North, ON",London North,North F,Townhouse,3.0,40.0,3.34,309900,https://www.zolo.ca/london-north-real-estate/120-monmore-road
"52-530 Gatestone Road, London South, ON",London South,South U,Townhouse,4.0,2.0,10.23,525000,https://www.zolo.ca/london-south-real-estate/530-gatestone-road/52
"903-549 Ridout Street N, London East, ON",London East,East F,Condo,2.0,40.0,2.96,354900,https://www.zolo.ca/london-east-real-estate/549-ridout-street-north/903
"1105-76 Base Line Road W, London South, ON",London South,South E,Condo,1.0,,5.59,244900,https://www.zolo.ca/london-south-real-estate/76-base-line-road-west/1105
"78-141 Condor Court, London East, ON",London East,East P,Townhouse,3.0,40.0,8.18,417000,https://www.zolo.ca/london-east-real-estate/141-condor-court/78
"604-480 Callaway Road, London North, ON",London North,North R,Condo,2.0,2.0,3.6,459900,https://www.zolo.ca/london-north-real-estate/480-callaway-road/604
"1505-380 King Street, London East, ON",London East,East K,Condo,2.0,40.0,3.84,209900,https://www.zolo.ca/london-east-real-estate/380-king-street/1505
"29-253 Taylor Street, London East, ON",London East,East C,Townhouse,4.0,,2.78,359000,https://www.zolo.ca/london-east-real-estate/253-taylor-street/29
"414-1200 Commissioners Road W, London South, ON",London South,South B,Condo,2.0,,7.25,948000,https://www.zolo.ca/london-south-real-estate/1200-commissioners-road-west/414
"102 St Bees Court, London North, ON",London North,North A,House,4.0,40.0,1.27,1149900,https://www.zolo.ca/london-north-real-estate/102-st-bees-court
"615 Deveron Crescent, London South, ON",London South,South T,Townhouse,3.0,40.0,8.72,489900,https://www.zolo.ca/london-south-real-estate/615-deveron-crescent
"9-181 Skyline Avenue, London North, ON",London North,North B,House,3.0,23.0,3.14,879000,https://www.zolo.ca/london-north-real-estate/181-skyline-avenue/9
"1606-1235 Richmond Street, London East, ON",London East,East B,Condo,2.0,13.0,0.74,468900,https://www.zolo.ca/london-east-real-estate/1235-richmond-street/1606
"1505-1105 Jalna Boulevard, London South, ON",London South,South X,Condo,1.0,40.0,9.31,189900,https://www.zolo.ca/london-south-real-estate/1105-jalna-boulevard/1505
"44-355 Sandringham Crescent, London South, ON",London South,South R,Townhouse,3.0,,7.71,334900,https://www.zolo.ca/london-south-real-estate/355-sandringham-crescent/44
"1604-323 Colborne Street, London East, ON",London East,East K,Condo,2.0,40.0,3.97,259900,https://www.zolo.ca/london-east-real-estate/323-colborne-street/1604
"3-130 Windsor Crescent, London South, ON",London South,South F,Townhouse,3.0,75.0,5.54,730000,https://www.zolo.ca/london-south-real-estate/130-windsor-crescent/3
"25-190 Fleming Drive, London East, ON",London East,East D,Townhouse,5.0,23.0,6.12,364000,https://www.zolo.ca/london-east-real-estate/190-fleming-drive/25
"104-1500 Richmond Street, London North, ON",London North,North G,Townhouse,2.0,40.0,1.05,512500,https://www.zolo.ca/london-north-real-estate/1500-richmond-street/104
